RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
dblp:hasAuthor	author_114559	0.1548
dblp:inYear	year_61	0.2568
dblp:hasAuthor	author_80394	0.1664
dblp:publishedIn	venue_944	0.2715
dblp:wrote	pub_23786	0.1842
dblp:wrote	pub_158105	0.1592
dblp:inYear	year_57	0.3189
dblp:inYear	year_57	0.3635
dblp:publishedIn	venue_1352	0.2692
dblp:publishedIn	venue_297	0.3468
dblp:publishedIn	venue_188	0.3879
dblp:inYear	year_59	0.3283
dblp:publishedIn	venue_741	0.3098
dblp:inYear	year_59	0.3180
dblp:publishedIn	venue_775	0.2798
dblp:hasAuthor	author_39232	0.1586
dblp:hasAuthor	author_184885	0.1500
dblp:inYear	year_59	0.4179
dblp:inYear	year_57	0.2796
dblp:hasAuthor	author_15270	0.1274
dblp:publishedIn	venue_269	0.2700
dblp:hasAuthor	author_88872	0.1333
dblp:wrote	pub_127137	0.1432
dblp:inYear	year_57	0.2905
dblp:inYear	year_57	0.2411
dblp:inYear	year_60	0.2936
dblp:wrote	pub_13516	0.1774
dblp:hasAuthor	author_221393	0.1730
dblp:publishedIn	venue_201	0.3315
dblp:inYear	year_47	0.2966
dblp:wrote	pub_134624	0.1144
dblp:hasAuthor	author_73549	0.1544
dblp:inYear	year_59	0.2984
dblp:wrote	pub_43910	0.1211
dblp:publishedIn	venue_379	0.3112
dblp:publishedIn	venue_1651	0.2803
dblp:publishedIn	venue_269	0.3579
dblp:wrote	pub_7245	0.1781
dblp:inYear	year_57	0.2784
dblp:wrote	pub_143582	0.1686
dblp:publishedIn	venue_70	0.3753
dblp:wrote	pub_107865	0.1401
dblp:inYear	year_57	0.2939
dblp:inYear	year_57	0.2955
dblp:wrote	pub_115095	0.1484
dblp:hasAuthor	author_237447	0.1393
dblp:wrote	pub_102656	0.1235
dblp:wrote	pub_22174	0.1887
dblp:publishedIn	venue_379	0.3179
dblp:publishedIn	venue_1215	0.2352
dblp:wrote	pub_130610	0.1322
dblp:hasAuthor	author_13476	0.1512
dblp:wrote	pub_73766	0.1782
dblp:hasAuthor	author_64065	0.1315
dblp:hasAuthor	author_128797	0.1886
dblp:hasAuthor	author_98358	0.1230
dblp:wrote	pub_39842	0.1201
dblp:publishedIn	venue_179	0.2707
dblp:publishedIn	venue_553	0.3147
dblp:wrote	pub_6090	0.1266
dblp:wrote	pub_146020	0.1641
dblp:wrote	pub_20406	0.1404
dblp:hasAuthor	author_380	0.1994
dblp:hasAuthor	author_18014	0.1219
dblp:hasAuthor	author_212892	0.1261
dblp:publishedIn	venue_824	0.2999
dblp:hasAuthor	author_187362	0.1211
dblp:hasAuthor	author_171875	0.1365
dblp:hasAuthor	author_147214	0.1385
dblp:publishedIn	venue_537	0.2928
dblp:hasAuthor	author_13478	0.1465
dblp:hasAuthor	author_182929	0.1262
dblp:wrote	pub_180378	0.1822
dblp:hasAuthor	author_203094	0.1718
dblp:hasAuthor	author_166662	0.1910
dblp:publishedIn	venue_157	0.3430
dblp:publishedIn	venue_1700	0.2822
dblp:inYear	year_57	0.2816
dblp:wrote	pub_2923	0.1707
dblp:hasAuthor	author_152159	0.1740
