HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
author_45210	dblp:wrote	pub_422910	0.1665
pub_340620	dblp:inYear	year_0	0.2864
pub_449057	dblp:hasAuthor	author_224442	0.1575
pub_196771	dblp:publishedIn	venue_1016	0.2321
pub_72590	dblp:hasAuthor	author_58554	0.1488
pub_268250	dblp:inYear	year_17	0.3470
pub_88337	dblp:hasAuthor	author_461981	0.1708
author_403389	dblp:wrote	pub_124338	0.1650
pub_154539	dblp:inYear	year_2	0.3449
author_557090	dblp:wrote	pub_139806	0.1785
pub_105455	dblp:publishedIn	venue_2057	0.2334
pub_334632	dblp:hasAuthor	author_147326	0.1872
author_633780	dblp:wrote	pub_117084	0.1466
pub_467148	dblp:inYear	year_33	0.3064
pub_464105	dblp:hasAuthor	author_416183	0.1318
pub_305880	dblp:inYear	year_31	0.3535
pub_270734	dblp:inYear	year_30	0.3292
author_13296	dblp:wrote	pub_152013	0.1638
pub_304530	dblp:inYear	year_33	0.3499
author_102809	dblp:wrote	pub_291240	0.1624
author_477624	dblp:wrote	pub_392457	0.2072
pub_248445	dblp:inYear	year_1	0.4072
author_164559	dblp:wrote	pub_164530	0.1405
pub_78932	dblp:inYear	year_15	0.3885
pub_137903	dblp:publishedIn	venue_2409	0.2178
pub_258342	dblp:hasAuthor	author_440760	0.1423
pub_149021	dblp:hasAuthor	author_263259	0.1577
pub_197190	dblp:hasAuthor	author_327254	0.1323
author_132121	dblp:wrote	pub_169715	0.1488
pub_53394	dblp:publishedIn	venue_2935	0.2628
pub_99083	dblp:publishedIn	venue_127	0.2695
author_427906	dblp:wrote	pub_457807	0.1427
pub_299163	dblp:publishedIn	venue_1571	0.2120
pub_441697	dblp:hasAuthor	author_373067	0.1504
pub_460382	dblp:publishedIn	venue_2187	0.2166
pub_29403	dblp:hasAuthor	author_135041	0.1110
pub_11753	dblp:publishedIn	venue_303	0.2655
pub_208392	dblp:inYear	year_12	0.3357
pub_221689	dblp:publishedIn	venue_1944	0.2083
