HEAD_ID	RELATION_ID	GENERATED_TAIL_ID	DISTANCE_SCORE
generated_context	dblp:inYear	author_1048310	0.2788
generated_context	dblp:hasLink	pub_359879	0.2605
generated_context	dblp:hasDOI	doi_352756	0.8112
generated_context	dblp:wrote	doi_735860	0.2187
generated_context	dblp:inYear	doi_458236	0.2990
generated_context	dblp:publishedIn	doi_309594	0.3411
generated_context	dblp:partOf	author_15465	0.6692
generated_context	dblp:paperType	doi_697868	0.3535
generated_context	dblp:hasLink	author_895331	0.3227
generated_context	dblp:wrote	link_695198	0.2221
generated_context	dblp:inYear	author_1083229	0.3346
generated_context	dblp:hasDOI	doi_135656	0.7674
generated_context	dblp:hasDOI	doi_700831	0.6832
generated_context	dblp:partOf	link_246872	0.6912
generated_context	dblp:hasDOI	doi_872511	0.7506
generated_context	dblp:hasDOI	link_702103	0.7236
generated_context	dblp:inYear	pub_260353	0.2708
generated_context	dblp:inYear	link_401356	0.3121
generated_context	dblp:inYear	link_44550	0.3167
generated_context	dblp:hasDOI	author_545490	0.7599
generated_context	dblp:partOf	doi_377198	0.7132
generated_context	dblp:hasAuthor	pub_263015	0.2588
generated_context	dblp:paperType	pub_444503	0.2744
generated_context	dblp:hasLink	doi_844872	0.2856
generated_context	dblp:partOf	doi_782814	0.6756
generated_context	dblp:hasDOI	link_950476	0.6950
generated_context	dblp:paperType	doi_470061	0.2981
generated_context	dblp:paperType	link_582998	0.2385
generated_context	dblp:partOf	author_40358	0.5307
generated_context	dblp:wrote	author_578252	0.1805
generated_context	dblp:hasDOI	doi_158746	0.8200
generated_context	dblp:publishedIn	author_37307	0.2938
generated_context	dblp:hasAuthor	pub_758312	0.2215
generated_context	dblp:paperType	link_458051	0.2902
generated_context	dblp:wrote	doi_487379	0.3104
generated_context	dblp:inYear	author_606079	0.2528
generated_context	dblp:publishedIn	author_139904	0.2860
generated_context	dblp:hasAuthor	pub_518178	0.1658
generated_context	dblp:wrote	pub_62641	0.2345
generated_context	dblp:hasAuthor	link_286587	0.2361
generated_context	dblp:wrote	pub_981972	0.2055
generated_context	dblp:inYear	author_1107168	0.3345
generated_context	dblp:hasDOI	pub_401910	0.8426
generated_context	dblp:publishedIn	link_169733	0.2983
generated_context	dblp:hasLink	link_973548	0.2539
generated_context	dblp:hasDOI	author_659042	0.6893
generated_context	dblp:wrote	pub_621764	0.2136
generated_context	dblp:hasLink	link_103582	0.2099
generated_context	dblp:hasDOI	link_792004	0.7628
generated_context	dblp:hasLink	author_590810	0.2366
generated_context	dblp:partOf	link_71955	0.6654
generated_context	dblp:wrote	link_907262	0.1721
generated_context	dblp:hasDOI	link_650305	0.8346
generated_context	dblp:publishedIn	pub_274169	0.2939
generated_context	dblp:hasAuthor	author_747051	0.2183
generated_context	dblp:partOf	doi_731240	0.5740
generated_context	dblp:paperType	author_903642	0.3126
generated_context	dblp:hasAuthor	link_552966	0.2712
generated_context	dblp:partOf	link_23844	0.5900
generated_context	dblp:partOf	author_883084	0.6502
generated_context	dblp:paperType	pub_203308	0.2791
generated_context	dblp:partOf	doi_393355	0.6169
generated_context	dblp:publishedIn	doi_335532	0.3110
generated_context	dblp:hasDOI	doi_702481	0.7069
generated_context	dblp:inYear	author_866428	0.3081
generated_context	dblp:paperType	author_808911	0.3373
generated_context	dblp:hasLink	pub_279141	0.2561
generated_context	dblp:hasDOI	link_194028	0.7433
generated_context	dblp:inYear	pub_9778	0.2665
generated_context	dblp:publishedIn	link_843496	0.2939
generated_context	dblp:wrote	pub_183067	0.2329
generated_context	dblp:hasAuthor	author_399828	0.2449
generated_context	dblp:hasAuthor	author_636709	0.2156
generated_context	dblp:hasDOI	author_460006	0.6674
